-1.04982939,0.99998464,0.00004877
-1.02853378,0.99997224,0.00004877
-1.00762313,1.00004026,0.00004877
-0.98652627,0.99998485,0.00004877
-0.96510791,1.00008295,0.00004877
-0.94400620,1.00008547,0.00004877
-0.92240196,1.00002330,0.00004877
-0.90090126,0.99999880,0.00004877
-0.87987631,1.00000423,0.00004877
-0.85850636,0.99999718,0.00004877
-0.83724966,0.99995166,0.00004877
-0.81627083,1.00006894,0.00004877
-0.79502616,1.00003271,0.00004877
-0.77393730,1.00006632,0.00004877
-0.75289129,1.00006253,0.00004877
-0.73166599,1.00008657,0.00004877
-0.71050319,0.99999499,0.00004877
-0.68942925,0.99996494,0.00004877
-0.66820064,0.99996056,0.00004877
-0.64679536,0.99999703,0.00004877
-0.62558003,1.00000028,0.00004877
-0.60435707,1.00004951,0.00004877
-0.58333728,0.99998649,0.00004877
-0.56257336,1.00005424,0.00004877
-0.54071593,1.00009979,0.00004877
-0.51969549,1.00007148,0.00004877
-0.49855437,1.00002677,0.00004877
-0.47735218,1.00000864,0.00004877
-0.45631943,1.00003287,0.00004877
-0.43534478,1.00004181,0.00004877
-0.41376940,1.00008392,0.00004877
-0.39252565,1.00002608,0.00004877
-0.37100849,1.00000371,0.00004877
-0.34963406,1.00015509,0.00004877
-0.32830646,1.00009791,0.00004877
-0.30680435,0.99992465,0.00004877
-0.28564798,0.99998733,0.00004877
-0.26481474,0.99995848,0.00004877
-0.24399493,1.00006242,0.00004877
-0.22301376,1.00006033,0.00004877
-0.20155644,1.00005833,0.00004877
-0.18058224,1.00000990,0.00004877
-0.15965064,0.99967397,0.00004877
-0.13769858,0.99960338,0.00004877
-0.11666876,0.99959661,0.00004877
-0.09545839,0.99949548,0.00004877
-0.07423994,0.99937092,0.00004877
-0.05303244,0.99944538,0.00004877
-0.03180260,0.99942664,0.00004877
-0.01077148,0.99948584,0.00004877
0.01059765,0.99947210,0.00004877
0.03189328,0.99939921,0.00004877
0.05298169,0.99945383,0.00004877
0.07391783,0.99948344,0.00004877
0.09533306,0.99948365,0.00004877
0.11597434,0.99947217,0.00004877
0.13719545,0.99950579,0.00004877
0.15881194,0.99968896,0.00004877
0.18040572,0.99996292,0.00004877
0.20177733,0.99995112,0.00004877
0.22300113,1.00001263,0.00004877
0.24388308,0.99996469,0.00004877
0.26509687,1.00000717,0.00004877
0.28652660,0.99999421,0.00004877
0.30716251,1.00000056,0.00004877
0.32835840,0.99997136,0.00004877
0.34974308,1.00002970,0.00004877
0.37093879,0.99993499,0.00004877
0.39212347,0.99999364,0.00004877
0.41330909,0.99996467,0.00004877
0.43415274,1.00000994,0.00004877
0.45540083,0.99997468,0.00004877
0.47702517,0.99992772,0.00004877
0.49855870,0.99996132,0.00004877
0.51968495,0.99997523,0.00004877
0.54068682,0.99995253,0.00004877
0.56156360,0.99999230,0.00004877
0.58313207,0.99999972,0.00004877
0.60452828,1.00001527,0.00004877
0.62565954,0.99997389,0.00004877
0.64679017,1.00004073,0.00004877
0.66776513,1.00001524,0.00004877
0.68882210,0.99996553,0.00004877
0.71021426,1.00001745,0.00004877
0.73119795,1.00000877,0.00004877
0.75277432,1.00002315,0.00004877
0.77435475,0.99997094,0.00004877
0.79552415,0.99999128,0.00004877
0.81694503,0.99997389,0.00004877
0.83798303,1.00009983,0.00004877
0.85898391,0.99997444,0.00004877
0.88000688,0.99998342,0.00004877
0.90121539,1.00011564,0.00004877
0.92232826,1.00000417,0.00004877
0.94299485,1.00004564,0.00004877
0.96428659,0.99992414,0.00004877
0.98565840,0.99994804,0.00004877
1.00686942,1.00001506,0.00004877
1.02825232,0.99989648,0.00004877
1.04973695,0.99991186,0.00004877
