# KIC neighbours within 25 arcsec of a DR25 object of interest with r - J < -0.5 (Section 2.6)
# 135 rows
#
# koi          [-]  DR25 object of interest
# disposition  [-]  DR25 disposition of that object
# kic          [-]  KIC identifier of the neighbour
# ra           [deg]  KIC right ascension, J2000
# dec          [deg]  KIC declination, J2000
# sep_as       [arcsec]  separation from the object of interest
# kepmag       [mag]  KIC Kepler magnitude
# rmag         [mag]  KIC r magnitude
# jmag         [mag]  KIC J magnitude
# r_minus_J    [mag]  KIC r minus KIC J
# gaia_G       [mag]  Gaia DR3 G of the best match within 2 arcsec; blank if none
# G_minus_r    [mag]  Gaia G minus KIC r; blank if no match
koi,disposition,kic,ra,dec,sep_as,kepmag,rmag,jmag,r_minus_J,gaia_G,G_minus_r
K00501.01,CANDIDATE,4951867,298.47089,40.075279,6.736785,14.83,14.805,16.291,-1.4860000000000007,,
K00696.01,CANDIDATE,8869664,284.87463,45.136898,16.723848,15.045,14.984,16.47,-1.4859999999999989,17.586082,2.602082000000001
K03156.01,CANDIDATE,4150654,289.75085,39.267231,23.308542,15.116,14.924,16.402,-1.4780000000000015,,
K03156.02,FALSE POSITIVE,4150654,289.75085,39.267231,23.308542,15.116,14.924,16.402,-1.4780000000000015,,
K03156.03,FALSE POSITIVE,4150654,289.75085,39.267231,23.308542,15.116,14.924,16.402,-1.4780000000000015,,
K03156.04,FALSE POSITIVE,4150654,289.75085,39.267231,23.308542,15.116,14.924,16.402,-1.4780000000000015,,
K02835.01,CONFIRMED,5436356,287.83368,40.696972,19.941742,14.619,14.581,16.058,-1.4770000000000003,20.891352,6.310352000000002
K00051.01,FALSE POSITIVE,6056990,295.9187,41.334145,6.17994,14.688,14.633,16.094,-1.461000000000002,17.74789,3.1148900000000026
K01724.01,CONFIRMED,10214168,294.32715,47.214218,12.363311,15.512,15.46,16.911,-1.4510000000000005,19.689602,4.229602
K03715.01,FALSE POSITIVE,4937161,295.34232,40.033226,17.491353,14.81,14.81,16.257,-1.447000000000001,17.703758,2.893758
K06969.01,CANDIDATE,8111998,296.5524,43.969082,10.336411,14.869,14.799,16.232,-1.4329999999999998,17.588697,2.7896970000000003
K00988.01,CONFIRMED,2302546,291.3645,37.606655,9.085543,14.503,14.466,15.865,-1.399000000000001,18.51779,4.051790000000002
K00988.02,CONFIRMED,2302546,291.3645,37.606655,9.085543,14.503,14.466,15.865,-1.399000000000001,18.51779,4.051790000000002
K02116.01,CONFIRMED,8163998,291.14099,44.056618,23.93378,14.2,14.152,15.545,-1.3930000000000007,20.972759,6.820759000000001
K06269.01,FALSE POSITIVE,2437866,290.25864,37.756367,18.134903,15.205,15.134,16.527,-1.3930000000000007,19.482262,4.348261999999998
K06873.01,FALSE POSITIVE,7381720,296.94165,42.953732,15.151598,15.408,15.375,16.742,-1.3670000000000009,19.178442,3.8034420000000004
K00340.01,FALSE POSITIVE,10551530,297.66748,47.798065,13.770687,14.784,14.743,16.091,-1.3480000000000008,17.413492,2.670492000000001
K03596.01,FALSE POSITIVE,9025922,293.26605,45.350697,8.383622,13.29,13.29,14.617,-1.3270000000000017,17.140532,3.850532000000001
K02016.01,CONFIRMED,8492019,290.59839,44.55143,19.1689,14.58,14.539,15.811,-1.2720000000000002,21.244049,6.705049000000001
K03712.01,FALSE POSITIVE,2437059,290.19949,37.783779,24.444239,14.051,14.004,15.243,-1.2390000000000008,18.339863,4.335863000000002
K07211.01,FALSE POSITIVE,9641040,288.02365,46.319393,18.985575,14.976,14.881,16.109,-1.2280000000000015,16.945644,2.0646440000000013
K03598.01,FALSE POSITIVE,2437252,290.21271,37.767826,20.36171,13.693,13.636,14.857,-1.221,16.803267,3.1672670000000025
K02684.01,FALSE POSITIVE,4035658,284.62152,39.17828,15.593037,14.33,14.33,15.507,-1.1769999999999996,16.540613,2.2106130000000004
K06107.01,FALSE POSITIVE,4035658,284.62152,39.17828,8.86351,14.33,14.33,15.507,-1.1769999999999996,16.540613,2.2106130000000004
K05245.01,CONFIRMED,6184888,284.05484,41.570683,22.316558,13.945,13.904,15.06,-1.1560000000000006,19.820189,5.916188999999999
K01060.02,CONFIRMED,5880331,293.08902,41.135567,11.911546,15.4,15.4,16.534,-1.1339999999999986,20.507465,5.1074649999999995
K01060.03,CONFIRMED,5880331,293.08902,41.135567,11.911546,15.4,15.4,16.534,-1.1339999999999986,20.507465,5.1074649999999995
K01060.04,CONFIRMED,5880331,293.08902,41.135567,11.911546,15.4,15.4,16.534,-1.1339999999999986,20.507465,5.1074649999999995
K01060.01,CONFIRMED,5880331,293.08902,41.135567,11.911546,15.4,15.4,16.534,-1.1339999999999986,20.507465,5.1074649999999995
K03511.01,FALSE POSITIVE,3644538,291.17007,38.760052,18.622633,15.21,15.21,16.312,-1.1020000000000003,20.833847,5.623846999999998
K05998.01,FALSE POSITIVE,5036926,297.94821,40.152771,14.87705,14.692,14.631,15.692,-1.061,17.446318,2.8153180000000013
K04518.01,FALSE POSITIVE,7032013,291.28217,42.540882,15.783509,15.956,15.907,16.962,-1.0549999999999997,19.654049,3.7470490000000005
K02465.01,FALSE POSITIVE,7542364,295.78265,43.177666,17.312505,14.592,14.535,15.582,-1.0470000000000006,17.078678,2.543678
K05722.01,FALSE POSITIVE,9847277,297.74881,46.662777,20.709755,15.706,15.699,16.724,-1.0250000000000004,17.144272,1.445272000000001
K00074.01,FALSE POSITIVE,6889220,298.31992,42.389717,12.35713,14.573,14.524,15.537,-1.0130000000000017,17.213589,2.689589
K05071.01,CANDIDATE,4566866,293.17044,39.631329,15.770305,15.84,15.84,16.814,-0.9740000000000002,18.011047,2.1710470000000015
K01213.01,FALSE POSITIVE,3455388,294.35529,38.599205,17.126687,15.751,15.695,16.651,-0.9559999999999995,18.045298,2.3502979999999987
K03899.01,FALSE POSITIVE,3455388,294.35529,38.599205,21.894692,15.751,15.695,16.651,-0.9559999999999995,18.045298,2.3502979999999987
K06736.01,FALSE POSITIVE,6593354,287.67014,42.059971,7.589695,15.808,15.761,16.708,-0.9469999999999992,17.747549,1.9865490000000001
K05129.01,CANDIDATE,5131262,299.31827,40.27158,24.21701,15.294,15.233,16.178,-0.9450000000000003,17.257572,2.024571999999999
K06134.01,FALSE POSITIVE,5738720,299.72339,40.903877,9.800224,15.438,15.361,16.303,-0.9420000000000002,18.502268,3.141268
K06286.01,FALSE POSITIVE,2708139,290.28348,37.938858,13.334205,15.001,14.951,15.804,-0.8529999999999998,17.359175,2.408175
K08189.01,FALSE POSITIVE,9874576,283.1344,46.790058,7.928871,15.905,15.865,16.67,-0.8050000000000015,17.698366,1.8333659999999998
K07547.01,FALSE POSITIVE,4074284,295.72046,39.189224,21.749888,15.362,15.322,16.108,-0.7860000000000014,17.512306,2.1903059999999996
K07601.01,FALSE POSITIVE,9246696,300.94614,45.60006,19.637017,15.549,15.503,16.285,-0.782,18.017107,2.514106999999999
K03249.01,FALSE POSITIVE,9083556,289.75726,45.453182,11.967412,14.538,14.463,15.22,-0.7570000000000014,21.026329,6.563329000000001
K00185.01,FALSE POSITIVE,4178406,296.18713,39.262585,5.279026,15.69,15.69,16.435,-0.7449999999999992,,
K06286.01,FALSE POSITIVE,2708159,290.28748,37.939716,11.596444,14.92,14.92,15.662,-0.7420000000000009,17.85268,2.9326799999999995
K01615.01,CONFIRMED,4278248,295.32986,39.373196,23.646372,15.553,15.522,16.257,-0.7350000000000012,18.686987,3.164986999999998
K01205.01,CONFIRMED,3869004,295.97348,38.941326,19.700157,15.06,15.06,15.79,-0.7299999999999986,17.429623,2.369622999999999
K05179.01,CANDIDATE,5563075,298.92294,40.71714,14.666701,15.44,15.397,16.126,-0.729000000000001,17.385912,1.988912000000001
K03701.01,FALSE POSITIVE,6470504,299.02121,41.819965,15.882525,15.434,15.395,16.093,-0.6980000000000004,17.60895,2.2139500000000005
K03705.01,FALSE POSITIVE,6470504,299.02121,41.819965,9.558354,15.434,15.395,16.093,-0.6980000000000004,17.60895,2.2139500000000005
K02733.01,CONFIRMED,5953289,289.55176,41.297249,4.01792,15.51,15.51,16.193,-0.6830000000000016,,
K07710.01,FALSE POSITIVE,4851274,295.84885,39.947491,4.839809,15.61,15.569,16.248,-0.6790000000000003,,
K01512.01,FALSE POSITIVE,11955490,286.88007,50.373871,20.603306,13.794,13.744,14.406,-0.6620000000000008,20.336258,6.592258000000001
K06815.01,FALSE POSITIVE,7049525,296.13098,42.518993,19.547506,14.07,14.027,14.688,-0.6610000000000014,20.239084,6.212083999999999
