kepid,offset_as,sigma_as,east_as,north_as,east_err_as,north_err_as,n_panels,n_skipped,median_panel_snr,median_panel_quality,dr25_offset_as,dr25_offset_err_as
1432789,2.68706839978047,0.22064957155522527,0.04783739553973934,-2.6866425457598098,0.08527199602377512,0.22067932311528277,31,3,64.10976625076255,0.6846722368168131,1.5698,0.684
1724961,2.4964597410283864,0.7008542920862143,-0.836345977752606,2.352198257815985,0.26769990812414807,0.7377229687008119,16,1,1914.529566183056,0.7456487155338807,0.91668,0.669
2308957,0.18192192068425503,0.0387377674149338,-0.03650987040658095,-0.17822069068529345,0.024534822747214132,0.03922152795595501,11,6,5114.519452026059,0.9954351962469635,0.023366,0.0773
2309568,10.786439313269533,0.37070171336543095,5.985409073581155,8.973413580167744,0.32321985541112414,0.3899730305823127,13,4,367.64336547551335,0.6739646912224528,0.3838,0.239
2309910,3.388512877135708,0.05782638606493037,3.2622819939816887,0.9162618131611566,0.055587731762971944,0.08100878968504603,14,0,37.24108396736952,0.9844076670376358,3.4216,0.078
2579147,0.31704965247242706,0.1542175043448374,-0.2891461375346986,0.13005765368347966,0.1377795111322691,0.21796137690921688,47,4,49.38060936405744,0.909709955608754,0.060236,0.435
2696938,5.254715189201964,0.1404394974554187,3.3952038321308877,4.010563882786755,0.09460172635207637,0.16566386355642918,3,1,279.4230933982517,0.6499190424322285,5.7222,0.119
2987027,0.6417715285495884,0.03277034356796087,0.32371313372696325,-0.5541484475386937,0.03834196202837098,0.03063804604244673,16,1,338.37702853796384,0.9994602025553218,0.51636,0.0692
3103212,0.5090721029705093,0.3216050478491394,0.4208328644328711,-0.28645087927259283,0.16180465361122354,0.519768415788195,13,4,15.714165124078283,0.8437603038826929,0.11349,0.353
2570767,0.5455851870764824,0.8789927717412684,-0.43397130873447626,-0.33065404814180965,0.7464535211225157,1.0694525441415743,9,8,91.07731273342729,0.646530946466972,4.8273,1.12
2438249,0.4536000068017215,0.36984251725570144,-0.40495561418387493,-0.2043622193838246,0.37917421283722014,0.33066347131079393,9,8,12.762539581701114,0.8590135706630861,0.3779,0.191
2852528,2.324725435243231,0.7238703826680764,-0.4179573095817606,2.286844996197601,3.7247670459614106,0.27938598784011004,10,4,40.42369627804358,0.862292600936696,1.0463,1.44
2859299,8.421610575280466,0.8636824792992491,2.823502323199851,-7.934189266242697,0.5156700146744502,0.8981863391168597,15,1,20.337752845433947,0.9120977187981613,11.175,0.974
2693092,0.1605204603033558,0.039065687704410754,0.12389665543211642,-0.10206094722633452,0.021541071136838036,0.05559970278285744,32,0,6981.330519889652,0.9985350600405296,0.24963,0.0672
2575964,1.4801496262070517,0.968175059824316,0.11346001838546804,1.4757946131453537,0.42225943350665274,0.9704892939395615,13,4,179.70418097782,0.6756425975687983,7.5348,0.461
2994888,0.9365998734364684,0.3037662307374987,-0.4759608639100552,0.806647741549682,0.22854860399729343,0.3259047791219805,17,17,22.86114945856687,0.9615089628442708,0.20446,0.355
