Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
1,9.57,-0.45,0.42636,-1.472,3.608,4.918,10.4,0.038,0.0,18.849,18.31,17.233,16.62,16.479,0.426
1,9.57,-0.31,0.21688,-2.115,3.562,5.083,9.5,0.038,0.0,19.557,19.11,17.811,17.252,17.043,0.217
1,9.57,0.15,0.60398,-1.128,3.616,4.757,9.2,0.038,0.0,16.789,16.288,15.17,14.493,14.374,0.604
1,9.57,0.19,0.19096,-2.314,3.524,5.073,10.3,0.038,0.0,20.855,20.534,18.998,18.465,18.229,0.191
1,9.59,-0.07,0.29762,-1.887,3.564,5.002,10.3,0.038,0.0,19.787,19.349,18.024,17.46,17.259,0.298
1,9.61,0.21,0.72763,-0.805,3.65,4.652,9.2,0.038,0.0,15.983,15.427,14.462,13.83,13.733,0.728
1,9.63,-0.21,0.34188,-1.748,3.58,4.985,8.9,0.037,0.0,18.04,17.551,16.319,15.745,15.57,0.342
1,9.63,-0.03,0.27303,-1.966,3.558,5.017,8.1,0.036,0.0,17.786,17.371,16.01,15.45,15.235,0.273
1,9.63,-0.03,1.41883,-2.701,4.039,8.034,8.3,0.037,0.0,19.822,20.314,20.368,20.423,20.428,0.619
1,9.63,0.01,0.68033,-0.898,3.644,4.689,10.5,0.038,0.0,17.516,16.974,15.988,15.336,15.236,0.68
1,9.65,-0.19,0.33757,-1.762,3.578,4.986,9.8,0.038,0.0,18.974,18.49,17.246,16.675,16.497,0.338
1,9.67,-0.43,0.26644,-1.907,3.581,5.042,10.1,0.038,0.0,19.638,19.13,17.941,17.375,17.196,0.266
1,9.67,-0.41,0.09157,-3.228,3.438,5.325,5.2,0.022,0.0,18.04,18.033,15.977,15.424,15.182,0.092
1,9.67,-0.25,0.27758,-1.914,3.571,5.026,11.9,0.038,0.0,21.454,20.982,19.717,19.155,18.964,0.278
1,9.69,-0.41,0.20731,-2.129,3.567,5.095,9.7,0.038,0.0,19.792,19.323,18.061,17.502,17.3,0.207
1,9.69,-0.19,0.1495,-2.561,3.506,5.144,9.7,0.038,0.0,20.873,20.599,18.992,18.449,18.206,0.15
1,9.69,-0.13,1.13314,0.38,3.791,4.224,10.3,0.038,0.0,14.12,13.626,13.154,12.9,12.867,1.133
1,9.69,-0.03,0.29944,-1.886,3.562,4.996,7.9,0.036,0.0,17.384,16.954,15.614,15.051,14.847,0.299
1,9.71,-0.45,0.34351,-1.685,3.596,4.989,10.9,0.038,0.0,19.882,19.347,18.23,17.643,17.486,0.344
1,9.71,-0.39,0.15853,-2.469,3.523,5.147,8.3,0.037,0.0,19.243,18.904,17.421,16.862,16.625,0.159
1,9.71,-0.37,0.30742,-1.805,3.584,5.012,10.7,0.038,0.0,19.983,19.476,18.289,17.716,17.542,0.307
1,9.71,-0.35,0.26604,-1.93,3.575,5.039,10.7,0.038,0.0,20.295,19.804,18.572,18.012,17.826,0.266
1,9.71,-0.11,0.21517,-2.152,3.55,5.069,7.4,0.034,0.0,17.55,17.149,15.769,15.214,14.984,0.215
1,9.71,-0.09,0.19062,-2.28,3.537,5.093,9.2,0.038,0.0,19.669,19.306,17.855,17.309,17.076,0.191
1,9.73,-0.37,0.10909,-2.907,3.48,5.248,8.6,0.037,0.0,20.638,20.449,18.702,18.139,17.9,0.109
1,9.73,-0.15,0.33911,-1.762,3.576,4.981,8.6,0.037,0.0,17.775,17.298,16.036,15.468,15.288,0.339
1,9.73,0.01,0.24118,-2.066,3.549,5.029,9.3,0.038,0.0,19.236,18.847,17.444,16.89,16.66,0.241
1,9.75,-0.51,0.49914,-1.26,3.627,4.85,8.6,0.037,0.0,16.52,15.979,14.963,14.325,14.201,0.499
1,9.75,-0.29,0.36021,-1.68,3.587,4.97,9.8,0.038,0.0,18.771,18.264,17.08,16.496,16.331,0.36
1,9.75,-0.17,0.65496,-0.904,3.65,4.703,9.1,0.038,0.0,16.13,15.581,14.624,13.987,13.89,0.655
1,9.75,0.09,0.38969,-1.651,3.572,4.915,9.8,0.038,0.0,18.697,18.256,16.923,16.351,16.17,0.39
1,9.77,-0.33,0.27738,-1.897,3.576,5.029,10.6,0.038,0.0,20.113,19.622,18.392,17.829,17.645,0.277
1,9.77,-0.29,0.37531,-1.636,3.59,4.952,11.7,0.038,0.0,20.559,20.049,18.875,18.285,18.123,0.375
1,9.77,-0.25,0.13506,-2.682,3.497,5.184,9.4,0.038,0.0,20.875,20.63,18.977,18.428,18.183,0.135
1,9.77,-0.15,0.18959,-2.276,3.54,5.097,10.1,0.038,0.0,20.561,20.188,18.758,18.208,17.976,0.19
1,9.77,-0.13,0.23213,-2.083,3.555,5.053,10.8,0.038,0.0,20.776,20.362,19.006,18.447,18.227,0.232
1,9.77,-0.05,0.27819,-1.944,3.56,5.011,9.8,0.038,0.0,19.429,19.006,17.658,17.096,16.886,0.278
1,9.79,-0.51,0.75595,-0.461,3.722,4.61,11.8,0.038,0.0,17.722,17.151,16.463,16.038,15.978,0.756
1,9.79,-0.43,0.1813,-2.29,3.548,5.125,10.8,0.038,0.0,21.295,20.883,19.537,18.976,18.745,0.181
1,9.79,-0.41,0.45238,-1.409,3.61,4.888,11.8,0.038,0.0,20.092,19.557,18.481,17.858,17.721,0.452
1,9.79,-0.25,0.69623,-0.751,3.671,4.66,8.7,0.037,0.0,15.347,14.776,13.902,13.327,13.242,0.696
1,9.79,-0.23,0.27718,-1.915,3.57,5.022,11.3,0.038,0.0,20.856,20.39,19.116,18.553,18.361,0.277
1,9.79,-0.09,0.1907,-2.277,3.537,5.092,9.3,0.038,0.0,19.764,19.4,17.95,17.403,17.171,0.191
1,9.79,-0.09,0.15235,-2.551,3.504,5.136,10.0,0.038,0.0,21.148,20.884,19.255,18.722,18.476,0.152
1,9.79,-0.09,0.68296,-0.845,3.653,4.677,12.6,0.038,0.0,19.484,18.93,17.985,17.357,17.263,0.683
1,9.79,0.01,0.64895,-0.968,3.636,4.709,11.6,0.038,0.0,18.791,18.259,17.242,16.577,16.472,0.649
1,9.81,-0.55,0.99472,0.307,3.806,4.297,10.1,0.038,0.0,14.102,13.673,13.23,12.993,12.964,0.995
1,9.81,-0.47,0.1592,-2.45,3.528,5.15,9.2,0.038,0.0,20.095,19.739,18.293,17.73,17.494,0.159
1,9.81,-0.35,0.47329,-1.365,3.611,4.867,9.9,0.038,0.0,18.083,17.552,16.472,15.841,15.706,0.473
1,9.81,-0.29,0.45372,-1.429,3.603,4.883,9.6,0.038,0.0,17.943,17.418,16.305,15.681,15.541,0.454
1,9.81,-0.23,0.47281,-1.391,3.604,4.866,9.5,0.038,0.0,17.747,17.226,16.109,15.477,15.34,0.473
1,9.81,-0.23,0.53614,-1.218,3.619,4.808,11.5,0.038,0.0,19.316,18.79,17.726,17.07,16.947,0.536
1,9.81,-0.21,0.36608,-1.675,3.584,4.957,11.7,0.038,0.0,20.656,20.163,18.947,18.365,18.197,0.366
1,9.81,-0.05,0.24643,-2.041,3.554,5.031,7.6,0.035,0.0,17.472,17.065,15.691,15.133,14.911,0.246
1,9.83,-0.55,0.12892,-2.7,3.505,5.216,9.0,0.038,0.0,20.52,20.234,18.663,18.09,17.856,0.129
1,9.83,-0.55,0.71608,-0.565,3.708,4.637,10.1,0.038,0.0,16.282,15.708,14.973,14.511,14.445,0.716
1,9.83,-0.45,0.10776,-2.917,3.481,5.258,8.8,0.037,0.0,20.863,20.667,18.936,18.365,18.131,0.108
