Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
2,10.05,-0.43,0.45946,-1.373,3.614,4.875,10.6,0.038,0.0,18.802,18.266,17.204,16.576,16.442,0.459
2,10.07,-1.03,0.22782,-1.936,3.602,5.088,11.4,0.038,0.0,21.011,20.458,19.393,18.824,18.659,0.228
2,10.07,-1.03,0.53878,-1.026,3.664,4.798,14.1,0.038,0.0,21.436,20.876,19.991,19.427,19.325,0.539
2,10.07,-0.93,0.37834,-1.5,3.626,4.966,11.1,0.038,0.0,19.621,19.066,18.068,17.473,17.332,0.378
2,10.07,-0.89,0.64897,-0.64,3.709,4.67,10.7,0.038,0.0,17.07,16.504,15.772,15.317,15.246,0.649
2,10.07,-0.89,0.71694,-0.369,3.745,4.59,13.8,0.038,0.0,19.492,18.963,18.348,17.981,17.929,0.717
2,10.07,-0.87,0.24134,-1.894,3.602,5.07,11.2,0.038,0.0,20.705,20.153,19.083,18.508,18.347,0.241
2,10.07,-0.85,0.88347,1.018,3.706,3.136,11.0,0.038,0.0,13.224,12.665,11.917,11.444,11.379,0.883
2,10.07,-0.85,0.6827,-0.516,3.725,4.634,12.6,0.038,0.0,18.661,18.103,17.425,17.012,16.95,0.683
2,10.07,-0.83,0.18737,-2.152,3.579,5.124,10.5,0.038,0.0,20.649,20.134,18.962,18.401,18.216,0.187
2,10.07,-0.81,0.1604,-2.38,3.547,5.159,9.1,0.038,0.0,19.82,19.401,18.079,17.508,17.285,0.16
2,10.07,-0.79,0.47363,-1.259,3.638,4.873,10.7,0.038,0.0,18.619,18.068,17.097,16.488,16.367,0.474
2,10.07,-0.77,0.18413,-2.182,3.574,5.126,10.8,0.038,0.0,21.025,20.521,19.323,18.765,18.574,0.184
2,10.07,-0.77,0.61054,-0.81,3.681,4.703,11.4,0.038,0.0,18.196,17.629,16.797,16.261,16.176,0.611
2,10.07,-0.77,0.37871,-1.51,3.623,4.963,11.7,0.038,0.0,20.244,19.693,18.679,18.074,17.935,0.379
2,10.07,-0.75,0.37712,-1.515,3.622,4.965,10.4,0.038,0.0,18.957,18.407,17.391,16.785,16.646,0.377
2,10.07,-0.75,0.17305,-2.279,3.56,5.141,10.5,0.038,0.0,20.969,20.51,19.246,18.681,18.471,0.173
2,10.07,-0.75,0.24586,-1.884,3.601,5.062,11.6,0.038,0.0,21.08,20.531,19.451,18.872,18.713,0.246
2,10.07,-0.73,0.5513,-1.025,3.656,4.774,11.6,0.038,0.0,18.934,18.379,17.459,16.859,16.758,0.551
2,10.07,-0.69,0.29456,-1.733,3.61,5.025,10.5,0.038,0.0,19.603,19.054,17.998,17.408,17.258,0.295
2,10.07,-0.69,0.48951,-1.224,3.639,4.853,10.8,0.038,0.0,18.63,18.081,17.108,16.49,16.373,0.49
2,10.07,-0.69,0.34739,-1.597,3.618,4.993,11.7,0.038,0.0,20.462,19.911,18.88,18.28,18.137,0.347
2,10.07,-0.67,0.21122,-2.026,3.59,5.096,10.8,0.038,0.0,20.634,20.103,18.974,18.402,18.232,0.211
2,10.07,-0.67,0.38659,-1.492,3.621,4.948,12.8,0.038,0.0,21.3,20.752,19.728,19.117,18.98,0.387
2,10.07,-0.65,0.32684,-1.642,3.612,4.989,11.8,0.038,0.0,20.674,20.126,19.076,18.479,18.333,0.327
2,10.07,-0.65,0.4358,-1.379,3.626,4.908,11.9,0.038,0.0,20.117,19.57,18.561,17.939,17.808,0.436
2,10.07,-0.61,0.70613,-0.496,3.72,4.608,11.2,0.038,0.0,17.211,16.643,15.948,15.518,15.456,0.706
2,10.07,-0.61,0.68924,-0.56,3.711,4.626,11.6,0.038,0.0,17.771,17.199,16.474,16.02,15.954,0.689
2,10.07,-0.59,0.88731,0.306,3.784,4.163,10.7,0.038,0.0,14.706,14.233,13.73,13.448,13.414,0.887
2,10.07,-0.59,0.44695,-1.366,3.624,4.895,11.6,0.038,0.0,19.786,19.241,18.22,17.594,17.463,0.447
2,10.07,-0.57,0.12196,-2.759,3.501,5.232,9.0,0.038,0.0,20.667,20.396,18.8,18.225,17.993,0.122
2,10.07,-0.57,0.39357,-1.503,3.614,4.937,10.6,0.038,0.0,19.129,18.584,17.533,16.923,16.782,0.394
2,10.07,-0.55,0.48176,-1.279,3.628,4.857,10.2,0.038,0.0,18.168,17.625,16.613,15.98,15.855,0.482
2,10.07,-0.55,0.29262,-1.769,3.598,5.01,10.5,0.038,0.0,19.692,19.15,18.049,17.466,17.309,0.293
2,10.07,-0.53,0.88942,0.241,3.783,4.223,11.2,0.038,0.0,15.367,14.886,14.381,14.097,14.062,0.889
2,10.07,-0.51,0.18848,-2.197,3.563,5.109,10.5,0.038,0.0,20.763,20.3,19.035,18.477,18.267,0.188
2,10.07,-0.51,0.81113,-0.136,3.759,4.466,11.1,0.038,0.0,16.21,15.684,15.112,14.777,14.734,0.811
3,10.07,-3.07,0.24849,-1.769,3.63,5.068,12.2,0.038,0.0,21.392,20.819,19.861,19.364,19.205,0.248
3,10.07,-2.59,0.59531,-0.711,3.727,4.777,14.8,0.038,0.0,21.347,20.83,20.16,19.78,19.698,0.595
3,10.07,-2.47,0.10554,-2.733,3.553,5.354,9.5,0.038,0.0,21.102,20.65,19.383,18.834,18.664,0.106
3,10.07,-2.25,0.69729,-0.272,3.778,4.611,14.2,0.038,0.0,19.651,19.243,18.699,18.385,18.343,0.697
3,10.07,-2.13,0.46976,-1.181,3.667,4.905,13.5,0.038,0.0,21.222,20.643,19.8,19.329,19.198,0.47
3,10.07,-2.11,0.6935,-0.299,3.774,4.619,15.9,0.038,0.0,21.417,20.996,20.444,20.124,20.08,0.693
3,10.07,-2.03,0.29901,-1.622,3.639,5.036,11.9,0.038,0.0,20.724,20.152,19.216,18.703,18.549,0.299
3,10.07,-2.01,0.64657,-0.509,3.749,4.699,14.9,0.038,0.0,20.944,20.461,19.847,19.493,19.431,0.647
3,10.07,-1.71,0.65699,-0.482,3.75,4.681,13.7,0.038,0.0,19.674,19.183,18.573,18.219,18.16,0.657
3,10.07,-1.69,0.7084,-0.256,3.776,4.593,14.3,0.038,0.0,19.711,19.28,18.736,18.422,18.38,0.708
3,10.07,-1.61,0.59448,-0.747,3.714,4.76,13.7,0.038,0.0,20.338,19.787,19.078,18.66,18.577,0.594
3,10.07,-1.57,0.59035,-0.767,3.71,4.762,14.6,0.038,0.0,21.288,20.732,20.012,19.585,19.501,0.59
3,10.07,-1.43,0.83038,0.425,3.817,4.144,17.3,0.038,0.0,21.007,20.655,20.225,19.996,19.97,0.83
3,10.07,-1.39,0.48831,-1.156,3.66,4.869,12.3,0.038,0.0,19.96,19.394,18.508,17.968,17.851,0.488
3,10.07,-1.31,0.66015,-0.511,3.739,4.671,13.0,0.038,0.0,19.048,18.525,17.889,17.513,17.452,0.66
3,10.07,-1.19,0.67654,-0.465,3.742,4.648,15.4,0.038,0.0,21.332,20.81,20.183,19.812,19.754,0.677
3,10.07,-1.07,0.7831,-0.011,3.787,4.438,13.6,0.038,0.0,18.396,17.962,17.458,17.173,17.139,0.783
3,10.07,-1.07,0.74003,-0.221,3.768,4.545,15.1,0.038,0.0,20.423,19.945,19.389,19.066,19.023,0.74
3,10.07,-1.05,0.72587,-0.29,3.759,4.573,15.8,0.038,0.0,21.295,20.799,20.221,19.883,19.836,0.726
3,10.07,-0.31,0.37238,-1.628,3.591,4.946,12.5,0.038,0.0,21.339,20.826,19.66,19.069,18.909,0.372
3,10.11,-2.83,0.5978,-0.686,3.73,4.767,13.6,0.038,0.0,20.086,19.576,18.913,18.537,18.458,0.598
3,10.11,-2.61,0.58658,-0.738,3.722,4.777,13.9,0.038,0.0,20.514,19.988,19.305,18.92,18.833,0.587
3,10.11,-2.39,0.61691,-0.604,3.74,4.739,14.4,0.038,0.0,20.68,20.188,19.551,19.186,19.116,0.617
3,10.11,-2.31,0.7544,0.108,3.813,4.406,11.9,0.038,0.0,16.399,16.072,15.621,15.373,15.347,0.754
3,10.11,-2.13,0.49831,-1.091,3.674,4.87,13.0,0.038,0.0,20.497,19.918,19.098,18.637,18.513,0.498
3,10.11,-2.11,0.40822,-1.355,3.655,4.97,12.6,0.038,0.0,20.758,20.179,19.298,18.81,18.668,0.408
3,10.11,-2.01,0.31244,-1.584,3.641,5.027,12.3,0.038,0.0,21.03,20.457,19.528,19.016,18.864,0.312
3,10.11,-1.97,0.62467,-0.587,3.739,4.721,13.1,0.038,0.0,19.336,18.832,18.194,17.825,17.756,0.625
3,10.11,-1.91,0.60527,-0.673,3.728,4.749,11.9,0.038,0.0,18.352,17.823,17.155,16.77,16.694,0.605
3,10.11,-1.89,0.79362,0.412,3.82,4.154,14.7,0.038,0.0,18.441,18.114,17.688,17.462,17.438,0.794
3,10.11,-1.85,0.55643,-0.877,3.699,4.803,13.2,0.038,0.0,20.164,19.598,18.849,18.413,18.316,0.556
3,10.11,-1.85,0.68958,-0.302,3.771,4.609,15.7,0.038,0.0,21.224,20.789,20.233,19.91,19.865,0.69
3,10.11,-1.81,0.53334,-0.964,3.689,4.829,12.5,0.038,0.0,19.681,19.111,18.328,17.871,17.766,0.533
3,10.11,-1.71,0.40831,-1.355,3.655,4.97,12.6,0.038,0.0,20.758,20.185,19.293,18.776,18.644,0.408
3,10.11,-1.63,0.26644,-1.72,3.631,5.054,11.6,0.038,0.0,20.67,20.106,19.138,18.593,18.439,0.266
3,10.11,-1.61,0.09482,-3.059,3.492,5.389,6.7,0.031,0.0,19.117,18.768,17.216,16.748,16.669,0.095
3,10.11,-1.61,0.54972,-0.912,3.692,4.806,14.0,0.038,0.0,21.05,20.483,19.708,19.247,19.149,0.55
3,10.11,-1.51,0.59907,-0.728,3.714,4.744,14.1,0.038,0.0,20.69,20.137,19.428,19.006,18.925,0.599
3,10.11,-1.47,0.45619,-1.242,3.655,4.907,13.2,0.038,0.0,21.074,20.507,19.61,19.07,18.946,0.456
3,10.11,-1.47,0.62073,-0.642,3.724,4.716,14.3,0.038,0.0,20.676,20.132,19.455,19.053,18.981,0.621
3,10.11,-1.43,0.30583,-1.639,3.629,5.025,12.2,0.038,0.0,21.069,20.508,19.53,18.971,18.819,0.306
3,10.11,-1.43,0.51023,-1.074,3.669,4.842,14.0,0.038,0.0,21.455,20.887,20.031,19.509,19.399,0.51
3,10.11,-1.41,0.61039,-0.692,3.716,4.726,11.3,0.038,0.0,17.799,17.247,16.545,16.125,16.048,0.61
3,10.11,-1.41,0.82337,0.56,3.788,3.893,15.6,0.038,0.0,18.971,18.556,18.048,17.761,17.728,0.823
3,10.11,-1.27,0.20744,-1.997,3.603,5.11,10.7,0.038,0.0,20.462,19.909,18.849,18.284,18.117,0.207
3,10.11,-1.21,0.79884,0.231,3.803,4.269,16.2,0.038,0.0,20.392,20.001,19.537,19.282,19.254,0.799
3,10.11,-1.13,0.70257,-0.344,3.755,4.595,14.2,0.038,0.0,19.829,19.328,18.737,18.391,18.341,0.703
3,10.11,-1.07,0.81978,0.322,3.798,4.167,17.2,0.038,0.0,21.165,20.754,20.278,20.015,19.985,0.82
