# NASA Exoplanet Archive cumulative KOI table, downloaded 2026-08-22 15:44 UTC+1.
# Columns used by fpp/own_fpp.py, in the archive's row order: kepoi_name [-],
# koi_disposition [-], koi_period [d], koi_prad [R_earth].
kepoi_name,koi_disposition,koi_period,koi_prad
K00824.01,CONFIRMED,15.37562369,11.01
K00825.01,CONFIRMED,8.10363271,2.11
K00825.02,CONFIRMED,4.71510843,1.46
K00826.01,CONFIRMED,6.365839713,2.44
K00827.01,FALSE POSITIVE,5.97581754,3.86
K00839.01,FALSE POSITIVE,2.446737317,26.25
K00840.01,CONFIRMED,3.04033046,8.99
K00841.01,CONFIRMED,15.33528675,5.0
K00117.04,CONFIRMED,7.95825328,1.06
K00841.02,CONFIRMED,31.33046135,6.5
K00831.01,FALSE POSITIVE,3.9043425,12.28
K00832.01,FALSE POSITIVE,9.286358079,17.61
K00833.01,FALSE POSITIVE,3.951405455,31.44
K00834.01,CONFIRMED,23.65369415,7.89
K00834.02,CONFIRMED,13.23352214,3.06
K00834.03,CONFIRMED,6.15560285,2.32
K00834.04,CONFIRMED,2.090811305,1.62
K00117.03,CONFIRMED,3.180027898,1.53
K00834.05,CONFIRMED,50.4467417,2.67
K00835.01,CONFIRMED,11.76307164,2.35
K00835.02,CONFIRMED,56.2279271,2.37
K00836.01,FALSE POSITIVE,2.384052875,17.06
K00837.01,CONFIRMED,7.953547,2.25
K00837.02,CONFIRMED,4.14451656,1.48
K00838.01,FALSE POSITIVE,4.859386384,38.33
K00850.01,CONFIRMED,10.526294577,8.24
K00851.01,CONFIRMED,4.583520948,5.39
K00852.01,CONFIRMED,3.76181843,2.66
K00853.01,CONFIRMED,8.20396958,3.01
K00853.02,CONFIRMED,14.49645186,3.01
K00841.03,CONFIRMED,6.54626149,2.19
K00842.01,CONFIRMED,12.71809866,2.31
K00842.02,CONFIRMED,36.06588163,2.64
K00843.01,CONFIRMED,4.190425659,6.21
K00844.01,CONFIRMED,3.709870784,4.35
K00845.01,CONFIRMED,16.3297527,3.75
K00846.01,CONFIRMED,27.807566216,13.84
K00847.01,CONFIRMED,80.8723469,7.59
K00848.01,FALSE POSITIVE,3.166465862,26.82
K00118.01,CONFIRMED,24.99324319,2.29
K00849.01,CONFIRMED,10.35533116,2.47
K00867.01,CONFIRMED,16.08518937,3.68
K00868.01,CANDIDATE,235.9986399,10.59
K00869.01,CONFIRMED,7.49018305,2.56
K00869.02,CONFIRMED,36.2761238,3.03
K00869.03,CONFIRMED,17.46087931,2.32
K00854.01,CONFIRMED,56.0560754,1.94
K00855.01,CONFIRMED,41.408316686,11.38
K00856.01,CANDIDATE,39.74893077,14.21
K00857.01,CONFIRMED,5.715425977,2.47
K00119.01,CONFIRMED,49.18394185,8.2
K00857.02,CONFIRMED,20.0261412,2.28
K00858.01,CANDIDATE,13.61014819,19.02
K00859.01,FALSE POSITIVE,10.44331991,2.66
K00861.01,CONFIRMED,2.237489571,1.41
K00862.01,FALSE POSITIVE,5.851520671,14.62
K00863.01,CONFIRMED,3.167893418,2.62
K00864.01,CONFIRMED,4.311780262,3.11
K00864.02,CONFIRMED,20.0504494,2.69
K00864.03,CONFIRMED,9.76734503,2.67
K00865.01,CANDIDATE,119.0207044,8.98
K00119.02,CONFIRMED,190.3200468,7.78
K00866.01,FALSE POSITIVE,2.861159894,4.37
K00880.01,CONFIRMED,26.44439337,3.91
K00880.02,CONFIRMED,51.53997972,5.51
K00880.03,CONFIRMED,5.902245782,2.43
K00880.04,CONFIRMED,2.382951591,1.86
K00881.01,CONFIRMED,21.02250608,3.07
K00869.04,CONFIRMED,3.219814777,1.69
K00870.01,CONFIRMED,5.912273234,1.73
K00870.02,CONFIRMED,8.98581901,1.65
K00871.01,CANDIDATE,12.940668656,22.94
K00120.01,FALSE POSITIVE,20.5452375,2.41
K00872.01,CONFIRMED,33.60123371,8.46
K00872.02,CONFIRMED,6.76652928,1.97
K00873.01,CONFIRMED,4.347288783,2.36
K00874.01,CONFIRMED,4.601811819,2.35
K00874.02,CONFIRMED,11.18719905,1.55
K00875.01,CONFIRMED,4.220965778,2.62
K00876.01,FALSE POSITIVE,6.998099523,588.66
K00877.01,CONFIRMED,5.95489993,2.33
K00877.02,CONFIRMED,12.03987488,2.18
K00877.03,CONFIRMED,20.83762895,1.42
K00121.01,FALSE POSITIVE,8.8111022,63.66
K00878.01,CONFIRMED,23.58917143,3.16
K00123.01,CONFIRMED,6.481633073,2.54
K00892.01,CONFIRMED,10.37168928,3.2
K00892.02,CONFIRMED,3.96996298,1.78
K00893.01,CONFIRMED,4.40841331,2.66
K00894.01,FALSE POSITIVE,7.9426176,4.68
K00881.02,CONFIRMED,226.8904775,4.53
K00882.01,FALSE POSITIVE,1.956811408,21.58
K00883.01,CANDIDATE,2.688899233,12.04
K00884.01,CONFIRMED,9.439459486,4.16
K00122.01,CONFIRMED,11.523067458,3.13
K00884.02,CONFIRMED,20.47748843,2.92
K00884.03,CONFIRMED,3.336123113,1.74
K00886.01,CONFIRMED,8.01078456,1.72
K00886.02,CONFIRMED,12.07134205,1.29
K00886.03,CONFIRMED,20.99587872,1.3
K00887.01,CONFIRMED,7.41113177,2.45
K00888.01,FALSE POSITIVE,1.000747038,4.14
K00889.01,CONFIRMED,8.884922995,10.51
K00890.01,CONFIRMED,8.09888906,8.95
K00891.01,CONFIRMED,10.00653012,3.52
K00012.01,CONFIRMED,17.855221681,13.16
K00901.01,CANDIDATE,12.732624065,4.87
K00902.01,CANDIDATE,83.92494032,4.78
K00903.01,CONFIRMED,5.007316661,6.96
K00904.01,CONFIRMED,2.211116989,1.85
K00904.02,CONFIRMED,27.9541337,1.9
K00124.01,CONFIRMED,12.69104387,2.57
K00895.01,FALSE POSITIVE,4.409409243,10.95
K00896.01,CONFIRMED,16.23947096,4.14
K00896.02,CONFIRMED,6.308201629,2.96
K00897.01,CONFIRMED,2.052349884,13.12
K00898.01,CONFIRMED,9.7704486,2.23
K00898.02,CONFIRMED,5.169804269,1.66
K00123.02,CONFIRMED,21.22261195,2.48
K00898.03,CONFIRMED,20.09017037,2.25
K00899.01,CONFIRMED,7.11373257,1.16
K00899.02,CONFIRMED,3.306551643,0.91
K00899.03,CONFIRMED,15.36845737,1.11
K00900.01,CONFIRMED,13.81020318,4.56
K00911.01,CONFIRMED,4.093578461,2.85
K00911.02,CONFIRMED,105.145959,3.43
K00912.01,CONFIRMED,10.8484518,2.34
K00912.02,CONFIRMED,6.66833241,1.18
K00913.01,CONFIRMED,4.082274889,10.55
K00914.01,CANDIDATE,3.886655224,1.87
K00904.03,CONFIRMED,42.1406089,1.85
K00904.04,CONFIRMED,4.617490562,1.62
K00904.05,CONFIRMED,10.19849255,1.75
K00905.01,FALSE POSITIVE,5.795063956,4.33
K00906.01,CONFIRMED,7.15681552,2.47
K00906.02,CONFIRMED,17.64830851,2.43
K00906.03,CONFIRMED,4.14810719,1.08
K00907.01,CONFIRMED,16.51410989,2.72
K00907.02,CONFIRMED,30.1329298,3.14
K00907.03,CONFIRMED,4.79090809,1.36
K00124.02,CONFIRMED,31.71981013,3.09
K00907.04,CONFIRMED,99.6415962,2.64
K00908.01,CONFIRMED,4.708326451,10.6
K00909.01,FALSE POSITIVE,16.37198661,540.37
K00910.01,CONFIRMED,5.392026903,2.68
K00928.01,CANDIDATE,2.494170338,2.42
K00929.01,CONFIRMED,6.491682808,9.66
K00930.01,FALSE POSITIVE,3.044770796,24.54
K00931.01,CONFIRMED,3.855603916,13.61
K00932.01,FALSE POSITIVE,3.855599139,3.57
K00125.01,CONFIRMED,38.47876629,13.26
K00915.01,FALSE POSITIVE,37.601661282,27.22
K00916.01,CONFIRMED,3.314947362,3.94
K00917.01,FALSE POSITIVE,6.71969089,4.37
K00918.01,CONFIRMED,39.6431552,10.98
K00919.01,FALSE POSITIVE,51.42598578,29.66
K00920.01,CONFIRMED,21.80451611,2.6
K00921.01,CONFIRMED,10.28194593,2.53
K00921.02,CONFIRMED,18.11993039,2.95
K00921.03,CONFIRMED,3.78402867,1.7
K00922.01,CONFIRMED,5.15448142,2.94
K00126.01,FALSE POSITIVE,33.80364366,20.7
K00923.01,CONFIRMED,5.743469797,3.13
K00924.01,CANDIDATE,39.4759093,4.06
K00925.01,FALSE POSITIVE,19.974485239,26.56
K00926.01,CONFIRMED,3.166353562,3.82
