lhood_heb L_heb pr_heb lhood_heb_Px2 L_heb_Px2 pr_heb_Px2 lhood_eb L_eb pr_eb lhood_eb_Px2 L_eb_Px2 pr_eb_Px2 lhood_beb L_beb pr_beb lhood_beb_Px2 L_beb_Px2 pr_beb_Px2 lhood_pl L_pl pr_pl fpV fp FPP
0.00e+00 0.00e+00 0.00e+00 5.03e-91 2.93e-96 8.74e-94 4.84e-270 9.59e-273 2.86e-270 1.45e-98 4.66e-103 1.39e-100 3.02e-04 4.85e-07 1.45e-04 1.38e-22 1.69e-25 5.06e-23 7.29e-01 3.35e-03 1.00e+00 0.00258 0.089 1.45e-04
0.00e+00 0.00e+00 0.00e+00 1.89e-93 8.87e-99 2.62e-96 3.91e-277 8.06e-280 2.38e-277 6.53e-91 1.45e-95 4.28e-93 3.63e-04 6.00e-07 1.77e-04 3.66e-22 4.37e-25 1.29e-22 7.37e-01 3.38e-03 1.00e+00 0.00315 0.089 1.77e-04
0.00e+00 0.00e+00 0.00e+00 1.48e-103 1.00e-108 2.84e-106 3.81e-262 7.43e-265 2.11e-262 2.56e-91 5.86e-96 1.67e-93 1.63e-04 2.65e-07 7.52e-05 2.00e-21 2.44e-24 6.94e-22 7.67e-01 3.52e-03 1.00e+00 0.00134 0.089 7.52e-05
0.00e+00 0.00e+00 0.00e+00 1.96e-98 1.36e-103 3.89e-101 8.92e-265 1.72e-267 4.91e-265 1.79e-96 4.94e-101 1.41e-98 5.15e-04 8.46e-07 2.42e-04 1.59e-22 1.88e-25 5.38e-23 7.61e-01 3.49e-03 1.00e+00 0.0043 0.089 2.42e-04
0.00e+00 0.00e+00 0.00e+00 9.30e-93 4.71e-98 1.46e-95 2.33e-260 4.45e-263 1.38e-260 2.54e-83 4.46e-88 1.38e-85 3.24e-04 5.17e-07 1.60e-04 2.24e-22 2.64e-25 8.19e-23 7.03e-01 3.23e-03 1.00e+00 0.00284 0.089 1.60e-04
0.00e+00 0.00e+00 0.00e+00 1.87e-88 1.09e-93 3.19e-91 6.60e-280 1.29e-282 3.79e-280 1.30e-101 3.77e-106 1.11e-103 6.22e-04 1.02e-06 3.00e-04 1.88e-22 2.34e-25 6.85e-23 7.43e-01 3.41e-03 1.00e+00 0.00533 0.089 3.00e-04
0.00e+00 0.00e+00 0.00e+00 2.21e-99 1.37e-104 4.00e-102 2.00e-274 3.94e-277 1.15e-274 1.71e-90 4.30e-95 1.25e-92 5.74e-04 9.30e-07 2.71e-04 2.91e-22 3.51e-25 1.02e-22 7.47e-01 3.43e-03 1.00e+00 0.00482 0.089 2.71e-04
0.00e+00 0.00e+00 0.00e+00 1.88e-88 9.16e-94 2.76e-91 5.40e-297 1.08e-299 3.25e-297 6.76e-94 1.91e-98 5.75e-96 1.59e-04 2.64e-07 7.93e-05 1.83e-21 2.17e-24 6.54e-22 7.24e-01 3.32e-03 1.00e+00 0.00141 0.089 7.93e-05
0.00e+00 0.00e+00 0.00e+00 7.45e-87 3.36e-92 9.62e-90 3.31e-272 6.18e-275 1.77e-272 1.59e-100 5.12e-105 1.47e-102 3.27e-04 5.31e-07 1.52e-04 2.46e-23 2.95e-26 8.47e-24 7.60e-01 3.49e-03 1.00e+00 0.0027 0.089 1.52e-04
0.00e+00 0.00e+00 0.00e+00 9.43e-91 4.96e-96 1.48e-93 4.26e-268 8.40e-271 2.51e-268 9.71e-96 2.38e-100 7.10e-98 3.16e-04 5.14e-07 1.54e-04 5.58e-22 6.72e-25 2.01e-22 7.29e-01 3.35e-03 1.00e+00 0.00273 0.089 1.54e-04
0.00e+00 0.00e+00 0.00e+00 1.56e-92 8.47e-98 2.51e-95 6.14e-277 1.21e-279 3.58e-277 9.36e-92 2.51e-96 7.42e-94 2.18e-04 3.54e-07 1.05e-04 5.50e-23 6.55e-26 1.94e-23 7.35e-01 3.37e-03 1.00e+00 0.00186 0.089 1.05e-04
0.00e+00 0.00e+00 0.00e+00 1.74e-88 7.53e-94 2.27e-91 1.78e-282 3.57e-285 1.08e-282 7.95e-94 2.25e-98 6.77e-96 1.54e-04 2.50e-07 7.53e-05 8.43e-23 1.02e-25 3.08e-23 7.24e-01 3.32e-03 1.00e+00 0.00134 0.089 7.53e-05
0.00e+00 0.00e+00 0.00e+00 2.74e-98 1.80e-103 5.40e-101 2.11e-256 4.18e-259 1.26e-256 2.96e-100 9.26e-105 2.78e-102 3.27e-04 5.41e-07 1.62e-04 6.60e-22 7.82e-25 2.35e-22 7.26e-01 3.33e-03 1.00e+00 0.00288 0.089 1.62e-04
0.00e+00 0.00e+00 0.00e+00 5.81e-86 2.51e-91 7.51e-89 1.07e-268 2.07e-271 6.20e-269 2.82e-92 6.89e-97 2.06e-94 4.07e-04 6.65e-07 1.99e-04 2.80e-21 3.28e-24 9.83e-22 7.28e-01 3.34e-03 1.00e+00 0.00354 0.089 1.99e-04
0.00e+00 0.00e+00 0.00e+00 2.80e-98 1.53e-103 4.48e-101 4.30e-281 8.08e-284 2.37e-281 9.26e-92 2.27e-96 6.65e-94 3.26e-04 5.27e-07 1.55e-04 7.79e-23 9.42e-26 2.77e-23 7.42e-01 3.41e-03 1.00e+00 0.00275 0.089 1.55e-04
0.00e+00 0.00e+00 0.00e+00 2.61e-98 1.57e-103 4.65e-101 1.36e-285 2.58e-288 7.64e-286 1.38e-81 2.32e-86 6.88e-84 1.45e-04 2.33e-07 6.91e-05 3.56e-28 4.27e-31 1.27e-28 7.35e-01 3.38e-03 1.00e+00 0.00123 0.089 6.91e-05
0.00e+00 0.00e+00 0.00e+00 1.35e-93 7.09e-99 2.03e-96 7.01e-270 1.33e-272 3.80e-270 4.39e-82 8.06e-87 2.30e-84 2.44e-04 3.95e-07 1.13e-04 7.61e-22 9.10e-25 2.60e-22 7.62e-01 3.50e-03 1.00e+00 0.00201 0.089 1.13e-04
