lhood_heb L_heb pr_heb lhood_heb_Px2 L_heb_Px2 pr_heb_Px2 lhood_eb L_eb pr_eb lhood_eb_Px2 L_eb_Px2 pr_eb_Px2 lhood_beb L_beb pr_beb lhood_beb_Px2 L_beb_Px2 pr_beb_Px2 lhood_pl L_pl pr_pl fpV fp FPP
0.00e+00 0.00e+00 0.00e+00 2.48e-92 1.35e-97 3.96e-95 6.89e-259 1.35e-261 3.96e-259 3.97e-94 9.71e-99 2.84e-96 1.25e-04 2.03e-07 5.93e-05 1.64e-23 1.97e-26 5.78e-24 7.45e-01 3.42e-03 1.00e+00 0.00105 0.089 5.93e-05
0.00e+00 0.00e+00 0.00e+00 4.47e-86 2.01e-91 5.84e-89 1.51e-263 2.90e-266 8.42e-264 1.22e-99 3.74e-104 1.09e-101 1.77e-04 2.86e-07 8.31e-05 1.85e-21 2.22e-24 6.44e-22 7.51e-01 3.45e-03 1.00e+00 0.00148 0.089 8.31e-05
0.00e+00 0.00e+00 0.00e+00 4.14e-86 1.63e-91 4.86e-89 2.75e-259 5.39e-262 1.61e-259 1.40e-96 3.22e-101 9.59e-99 4.16e-04 6.84e-07 2.04e-04 4.26e-21 5.04e-24 1.50e-21 7.31e-01 3.35e-03 1.00e+00 0.00362 0.089 2.04e-04
0.00e+00 0.00e+00 0.00e+00 1.70e-90 8.29e-96 2.42e-93 1.18e-260 2.31e-263 6.73e-261 1.42e-97 3.59e-102 1.05e-99 3.14e-04 5.13e-07 1.49e-04 1.80e-26 2.15e-29 6.28e-27 7.47e-01 3.43e-03 1.00e+00 0.00265 0.089 1.49e-04
0.00e+00 0.00e+00 0.00e+00 4.66e-93 3.06e-98 9.28e-96 8.36e-255 1.66e-257 5.04e-255 1.23e-101 2.92e-106 8.86e-104 4.17e-04 6.83e-07 2.07e-04 4.40e-22 5.27e-25 1.60e-22 7.19e-01 3.30e-03 1.00e+00 0.00367 0.089 2.07e-04
0.00e+00 0.00e+00 0.00e+00 2.58e-96 1.60e-101 4.64e-99 7.52e-274 1.49e-276 4.33e-274 7.28e-117 1.84e-121 5.34e-119 4.65e-04 7.49e-07 2.18e-04 1.26e-25 1.50e-28 4.37e-26 7.49e-01 3.44e-03 1.00e+00 0.00387 0.089 2.18e-04
0.00e+00 0.00e+00 0.00e+00 1.02e-83 3.46e-89 1.03e-86 5.01e-273 9.98e-276 2.97e-273 1.05e-101 3.14e-106 9.34e-104 5.51e-04 8.91e-07 2.65e-04 1.44e-22 1.73e-25 5.14e-23 7.32e-01 3.36e-03 1.00e+00 0.00471 0.089 2.65e-04
0.00e+00 0.00e+00 0.00e+00 2.19e-90 1.32e-95 3.83e-93 4.92e-262 9.49e-265 2.76e-262 1.61e-96 4.68e-101 1.36e-98 3.01e-04 4.81e-07 1.40e-04 2.92e-21 3.49e-24 1.02e-21 7.48e-01 3.43e-03 1.00e+00 0.00249 0.089 1.40e-04
0.00e+00 0.00e+00 0.00e+00 8.14e-97 5.04e-102 1.48e-99 1.65e-260 3.30e-263 9.70e-261 1.88e-90 4.74e-95 1.39e-92 7.86e-04 1.25e-06 3.69e-04 1.35e-21 1.61e-24 4.74e-22 7.40e-01 3.40e-03 1.00e+00 0.00656 0.089 3.69e-04
0.00e+00 0.00e+00 0.00e+00 5.59e-89 2.62e-94 7.52e-92 2.01e-267 4.02e-270 1.15e-267 8.57e-95 2.69e-99 7.70e-97 3.80e-04 6.12e-07 1.75e-04 1.96e-21 2.33e-24 6.68e-22 7.60e-01 3.49e-03 1.00e+00 0.00312 0.089 1.75e-04
0.00e+00 0.00e+00 0.00e+00 1.90e-97 1.11e-102 3.22e-100 5.57e-267 1.07e-269 3.11e-267 3.66e-92 1.06e-96 3.09e-94 2.89e-04 4.69e-07 1.36e-04 4.98e-22 5.97e-25 1.73e-22 7.50e-01 3.44e-03 1.00e+00 0.00242 0.089 1.36e-04
0.00e+00 0.00e+00 0.00e+00 1.05e-93 6.30e-99 1.80e-96 3.56e-270 7.07e-273 2.02e-270 7.16e-91 1.92e-95 5.47e-93 9.22e-04 1.54e-06 4.41e-04 3.92e-22 4.65e-25 1.33e-22 7.63e-01 3.50e-03 1.00e+00 0.00783 0.089 4.41e-04
0.00e+00 0.00e+00 0.00e+00 6.39e-80 2.52e-85 7.50e-83 8.50e-280 1.62e-282 4.81e-280 3.68e-94 8.15e-99 2.43e-96 3.02e-04 4.83e-07 1.44e-04 5.76e-23 6.88e-26 2.05e-23 7.32e-01 3.36e-03 1.00e+00 0.00255 0.089 1.44e-04
0.00e+00 0.00e+00 0.00e+00 6.40e-88 3.12e-93 8.93e-91 7.85e-271 1.48e-273 4.24e-271 3.05e-103 1.00e-107 2.87e-105 3.95e-04 6.50e-07 1.86e-04 1.35e-22 1.60e-25 4.59e-23 7.61e-01 3.49e-03 1.00e+00 0.0033 0.089 1.86e-04
0.00e+00 0.00e+00 0.00e+00 1.48e-93 7.80e-99 2.35e-96 4.19e-275 7.89e-278 2.38e-275 5.94e-109 2.04e-113 6.17e-111 3.90e-04 6.33e-07 1.91e-04 9.72e-23 1.15e-25 3.47e-23 7.21e-01 3.31e-03 1.00e+00 0.0034 0.089 1.91e-04
0.00e+00 0.00e+00 0.00e+00 4.80e-94 2.52e-99 7.66e-97 3.48e-283 6.82e-286 2.07e-283 1.75e-117 6.14e-122 1.86e-119 2.60e-04 4.25e-07 1.29e-04 8.63e-22 1.03e-24 3.12e-22 7.18e-01 3.29e-03 1.00e+00 0.00229 0.089 1.29e-04
0.00e+00 0.00e+00 0.00e+00 7.16e-97 5.11e-102 1.61e-99 3.46e-278 6.86e-281 2.16e-278 1.36e-101 4.79e-106 1.51e-103 4.48e-04 7.23e-07 2.27e-04 1.44e-22 1.71e-25 5.39e-23 6.93e-01 3.18e-03 1.00e+00 0.00404 0.089 2.27e-04
0.00e+00 0.00e+00 0.00e+00 3.21e-99 2.41e-104 7.02e-102 2.09e-281 4.23e-284 1.23e-281 2.18e-106 6.83e-111 1.99e-108 2.17e-04 3.52e-07 1.02e-04 3.14e-22 3.83e-25 1.12e-22 7.47e-01 3.43e-03 1.00e+00 0.00182 0.089 1.02e-04
0.00e+00 0.00e+00 0.00e+00 1.90e-85 1.03e-90 3.17e-88 1.85e-274 3.61e-277 1.10e-274 4.30e-92 1.18e-96 3.62e-94 7.13e-04 1.16e-06 3.55e-04 6.31e-23 7.60e-26 2.33e-23 7.11e-01 3.26e-03 1.00e+00 0.0063 0.089 3.55e-04
0.00e+00 0.00e+00 0.00e+00 5.95e-96 4.24e-101 1.23e-98 5.93e-275 1.22e-277 3.53e-275 3.21e-156 7.62e-161 2.21e-158 5.97e-04 9.57e-07 2.77e-04 1.52e-21 1.85e-24 5.35e-22 7.52e-01 3.45e-03 1.00e+00 0.00492 0.089 2.77e-04
